,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
93,2014-1-PT01-KA104-000362,2016-2017,30,Staff training abroad,"Social and behavioural sciences, not elsewhere classified",Female,Staff,No,No,No,53,MONTEMOR-O-NOVO,MARCA - Associação de Desenvolvimento Local,Montigny sur sambre,AViQ,1,Training,Belgium,Unknown,Belgium,Portugal
94,2018-1-AT01-KA103-038907,2018-2019,137,Student mobility for traineeships between Programme Countries,Mechanics and metal trades,Male,Learner,No,No,No,22,LEOBEN,MONTANUNIVERSITAET LEOBEN,München,BMW AG -  Petuelring,1,Traineeships,Austria,Bachelor,Germany,Austria
95,2014-1-PL01-KA103-000065,2015-2016,153,Student mobility for studies between Programme Countries,Business and administration,Female,Learner,No,No,No,19,SIEDLCE,UNIWERSYTET PRZYRODNICZO-HUMANISTYCZNY W SIEDLCACH,Vilnius,Vilniaus Kolegija,1,Studies,Belarus,Bachelor,Lithuania,Poland
96,2018-2-UK01-KA105-048472,2018-2019,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,25,BUCURESTI,"ASOCIATIA LIBER LA EDUCATIE, CULTURA SI SPORT",Istanbul,Champions Factory TR,1,Youth Exchange,Romania,Unknown,Turkey,Romania
97,2014-1-SE01-KA103-000020,2015-2016,92,Student mobility for traineeships between Programme Countries,Education,Female,Learner,No,No,No,22,GAVLE,HOGSKOLAN I GAVLE,KINGSTON UPON THAMES,KINGSTON UNIVERSITY HIGHER EDUCATION CORPORATION,1,Traineeships,Sweden,Bachelor,United Kingdom,Sweden
98,2015-1-FI01-KA103-008679,2015-2016,122,Student mobility for traineeships between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,24,ABO,ABO AKADEMI,Valby,AW Media,1,Traineeships,Finland,Master,Denmark,Finland
99,2018-1-PL01-KA103-048455,2019-2020,5,Staff mobility for training between Programme Countries,Other,Female,Staff,No,No,No,24,Łódź,Akademia Humanistyczno-Ekonomiczna w Lodzi,CADIZ,UNIVERSIDAD DE CADIZ,2,Training,Poland,Unknown,Spain,Poland
100,2019-2-LU01-KA105-050159,2019-2020,5,Youth Exchanges - Partner Countries,Other,Male,Learner,No,No,No,18,Barcelona,Fundacio Jesuites Educacio- Sant Ignasi,Barcelona,Fundacio Jesuites Educacio- Sant Ignasi,1,Youth Exchange,Spain,Unknown,Spain,Spain
101,2017-3-DE04-KA105-015749,2018-2019,9,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,28,BOLOGNA,YOUNET,RESITA,ASOCIATIA NEVO PARUDIMOS,1,Youth Exchange,Italy,Unknown,Romania,Italy
102,2017-1-TR01-KA102-038233,2018-2019,14,VET learners traineeships in vocational institutes abroad,Health,Male,Learner,No,No,No,17,TAVAS,MEHMET KISAOGLU MESLEKI VE TEKNIK ANADOLU LISESI,Zolling,Pötzl,2,Traineeships,Turkey,Upper Secondary Education,Germany,Turkey
103,2016-1-NL01-KA103-022675,2017-2018,134,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Male,Learner,No,No,No,21,Vlissingen,STICHTING HZ UNIVERSITY OF APPLIED SCIENCES,Kufstein,FHS KUFSTEIN TIROL BILDUNGS GMBH,1,Studies,Netherlands,Bachelor,Austria,Netherlands
104,2014-1-ES01-KA101-001749,2015-2016,4,Training assignments abroad,Education,Female,Staff,No,No,No,38,Santa Coloma de Cervell?,Escola  Pla de les Vinyes,Rome,"Istituto Comprensivo ""Via San Biagio Platani""",1,Training,Spain,Unknown,Italy,Spain
105,2019-1-IT03-KA105-015956,2019-2020,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,18,Pärnu linn,Noorte Ettevõtlikkuse Arendamise Ühing,CAGLIARI,ASSOCIAZIONE INTERCULTURALE NUR,1,Youth Exchange,Estonia,Unknown,Italy,Estonia
106,2019-1-NL01-KA101-060107,2019-2020,3,Structured Courses/Training Events,Teacher training with subject specialization,Male,Staff,No,No,No,60,Soest,CBS de Werveling,HASSELT,UNIVERSITEIT HASSELT,1,Training,Netherlands,Unknown,Belgium,Netherlands
107,2018-1-DK01-KA103-046792,2019-2020,151,Student mobility for studies between Programme Countries,Physics,Female,Learner,No,No,No,22,KOBENHAVN,KOBENHAVNS UNIVERSITET,Bristol BS8 1TH,UNIVERSITY OF BRISTOL,1,Studies,Denmark,Bachelor,United Kingdom,Denmark
108,2015-1-BG01-KA105-013548,2016-2017,14,Youth Exchanges - Programme Countries,Other,Male,Learner,No,No,No,30,Sofia,NARODNO CHITALISHTE VESHTINA,Balchik,NARODNO CHITALISHTE VESHTINA,1,Youth Exchange,Bulgaria,Unknown,Bulgaria,Bulgaria
109,2018-1-NO01-KA116-038752,2018-2019,95,ErasmusPro - Mobility of VET learners (3 to 12 months),Information and Communication Technologies (ICTs),Male,Learner,No,No,No,19,Trondheim,Sør-Trøndelag fylkeskommune,Florence,Centro Machiavelli S.r.l.,1,Learner,Lithuania,Upper Secondary Education,Italy,Norway
110,2016-1-NL01-KA116-022650,2017-2018,138,VET traineeships in companies abroad,"Travel, tourism and leisure",Female,Learner,No,No,No,18,Zwolle,Deltion College,Praha 4,Panorama Hotel Praque,1,Traineeships,Netherlands,Not Classified,Czechia,Netherlands
111,2015-1-ES01-KA103-013630,2015-2016,271,Student mobility for studies between Programme Countries,"Journalism and information, not further defined",Female,Learner,No,No,No,22,MADRID,FUNDACION UNIVERSITARIA SAN PABLO-CEU,ROMA,LIBERA UNIVERSITA MARIA SS ASSUNTA,1,Studies,Spain,Bachelor,Italy,Spain
112,2015-1-PL01-KA102-014486,2016-2017,19,VET traineeships in companies abroad,Information and Communication Technologies (ICTs),Female,Learner,No,No,No,18,Bychawa,Zespol Szkol Zawodowych Nr 1 im. mjr. Henryka Dobrzanskiego,Spoleto,Azzurra Società Cooperativa Sociale,1,Traineeships,Poland,Unknown,Italy,Poland
113,2018-1-CZ01-KA103-046958,2019-2020,123,Student mobility for studies between Programme Countries,"Arts, not further defined",Female,Learner,No,No,No,24,PILSEN,ZAPADOCESKA UNIVERZITA V PLZNI,BUDAPEST,MAGYAR KEPZOMUVESZETI EGYETEM,1,Studies,Czechia,Master,Hungary,Czechia
114,2016-1-IT02-KA103-023468,2016-2017,182,Student mobility for studies between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,21,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,Postdam,UNIVERSITAET POTSDAM,1,Studies,Italy,Bachelor,Germany,Italy
115,2015-1-DE01-KA103-001822,2015-2016,353,Student mobility for traineeships between Programme Countries,Biology,Male,Learner,No,No,No,24,MUENSTER,WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",1,Traineeships,Germany,Master,United Kingdom,Germany
116,2014-1-DE02-KA102-000100,2014-2015,57,VET learners traineeships in vocational institutes abroad,Mechanics and metal trades,Male,Learner,No,No,No,20,Rockenhausen,Berufsbildende Schule Donnersbergkreis Rockenhausen / Eisenberg,Swiebodzin,Johnson Controls Polska SP. z o.o.,1,Traineeships,Germany,Unknown,Poland,Germany
117,2018-2-SE02-KA105-002261,2018-2019,10,Youth Exchanges - Programme Countries,Other,Female,Learner,No,Yes,No,26,Sundbyberg,Somaliska ungdomsförbundet i Sverige,Sundbyberg,Somaliska ungdomsförbundet i Sverige,1,Youth Exchange,Sweden,Unknown,Sweden,Sweden
118,2018-1-AT02-KA105-002069,2018-2019,2,Advance Planning Visit – Youth Exchange,Other,Female,Learner,No,No,No,23,Velenje,Kulturno društvo raum AU,Stubenberg am See,Future Icons - Verein für junge innovative Kunst und Kultur,1,Youth Exchange,Slovenia,Unknown,Austria,Slovenia
119,2015-1-SE01-KA102-012037,2015-2016,2,Staff training abroad,"Motor vehicles, ships and aircraft",Male,Staff,No,No,No,47,Falun,Lugnetgymnasiet,APELDOORN,Stichting Regionaal Opleidingen Centrum Aventus,1,Training,Sweden,Unknown,Netherlands,Sweden
120,2014-1-UK01-KA103-000193,2015-2016,4,Staff mobility for teaching between Programme Countries,Law,Female,Staff,No,No,No,47,EDINBURGH,THE UNIVERSITY OF EDINBURGH,CERDANYOLA BARCELONA,UNIVERSITAT AUTONOMA DE BARCELONA,1,Teach,Uruguay,Doctoral,Spain,United Kingdom
121,2017-2-IT03-KA105-011543,2017-2018,6,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,No,23,AMARANTE,AVENTURA MARAO CLUBE ASSOCIACAO,Forlì,Associazione Centro per la Pace Forlì,1,Youth Exchange,Portugal,Unknown,Italy,Portugal
122,2014-1-DE03-KA101-000757,2015-2016,12,Staff training abroad,Teacher training without subject specialization,Female,Staff,No,No,No,31,München,Obermenzinger Gymnasium,Bournemouth,Richard Language College Limited,1,Training,Germany,Unknown,United Kingdom,Germany
123,2014-1-ES01-KA103-000662,2014-2015,241,Student mobility for studies between Programme Countries,"Travel, tourism and leisure",Male,Learner,No,No,No,21,MADRID,UNIVERSIDAD REY JUAN CARLOS,LA ROCHELLE,GROUPE SUP DE CO LA ROCHELLE,1,Studies,Spain,Bachelor,France,Spain
124,2017-1-FR01-KA103-036142,2017-2018,282,Student mobility for studies between Programme Countries,"Architecture and construction, not further defined",Male,Learner,No,No,No,19,NANTES CEDEX 2,ECOLE NATIONALE SUPERIEURE D'ARCHITECTURE DE NANTES,VENEZIA,UNIVERSITA IUAV DI VENEZIA,1,Studies,France,Bachelor,Italy,France
125,2015-1-CZ01-KA102-013619,2016-2017,14,VET traineeships in companies abroad,"Hotel, restaurants and catering",Female,Learner,No,No,No,19,Ostrava - Vítkovice,"AHOL - Stredni skola gastronomie, turismu a lazenství",London,Leonardo Hotel Heathrow Aiport,1,Traineeships,Czechia,Unknown,United Kingdom,Czechia
126,2018-1-ES01-KA103-047173,2018-2019,127,Student mobility for studies between Programme Countries,Therapy and rehabilitation,Male,Learner,No,No,No,20,GRANADA,UNIVERSIDAD DE GRANADA,BRUSELAS,Haute Ecole Léonard de Vinci,1,Studies,Spain,Bachelor,Belgium,Spain
127,2014-1-CZ01-KA103-000055,2014-2015,5,Staff mobility for training between Programme Countries,Other,Male,Staff,No,No,No,20,Brno,Janackova akademie muzickych umeni v Brne,Annecy,Ifalpes Annecy,1,Training,Slovakia,Unknown,France,Czechia
128,2018-1-ES01-KA101-049440,2019-2020,6,Structured Courses/Training Events,Education,Female,Staff,No,No,No,42,Inca,Ceip Llevant,Terracina,EUROPEAN TRAINING AND RESEARCH ASSOCIATION FOR A COOPERATION KEY TO BUSINESS,1,Training,Spain,Unknown,Italy,Spain
129,2016-1-PL01-KA103-024025,2017-2018,75,Student mobility for traineeships between Programme Countries,Religion and theology,Male,Learner,No,No,No,38,Wrocaw,Ewangelikalna Wyzsza Szkola Teologiczna,Budapest,A Biblia Szol Egyesulet,1,Traineeships,Poland,Bachelor,Hungary,Poland
130,2016-2-LV02-KA105-001189,2017-2018,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,29,CAGLIARI,TDM 2000,Riga,Youth Line,1,Youth Exchange,Italy,Unknown,Latvia,Italy
131,2015-1-HU02-KA105-000776,2015-2016,10,Youth Exchanges - Programme Countries,Other,Female,Learner,No,No,Yes,27,Budapest,Harmónia Egyesület,Budapest,Harmónia Egyesület,1,Youth Exchange,Hungary,Unknown,Hungary,Hungary
132,2015-1-UK01-KA103-012595,2016-2017,4,Staff mobility for training between Programme Countries,Other,Female,Staff,No,No,No,27,Londonderry,NORTH WEST REGIONAL COLLEGE,TARRAGONA,UNIVERSITAT ROVIRA I VIRGILI,1,Training,Ireland,Unknown,Spain,United Kingdom
133,2019-1-FR01-KA116-061417,2019-2020,19,Mobility of VET learners (2 weeks up to 3 months),"Hotel, restaurants and catering",Male,Learner,No,No,No,18,SEVREMONT,MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DE SAINT MICHEL MONT MERCURE,ZADAR,FALKENSTEINER HOTELS ET RESIDENCES,1,Learner,France,Upper Secondary Education,Croatia,France
134,2018-2-ES02-KA105-011506,2018-2019,5,Youth Exchanges - Partner Countries,Other,Male,Learner,No,Yes,No,19,SARAJEVO,UDRUZENJE CENTAR ZA EDUKACIJU I MOBILNOST MLADIH ELEMENT,GANDIA,XERACION VALENCIA,1,Youth Exchange,Bosnia and Herzegovina,Unknown,Spain,Bosnia and Herzegovina
135,2019-1-PL01-KA103-061644,2019-2020,271,Student mobility for studies between Programme Countries,Medicine,Female,Learner,No,No,No,23,WROCLAW,UNIWERSYTET MEDYCZNY IM PIASTOW SLASKICH WE WROCLAWIU,PADOVA,UNIVERSITA DEGLI STUDI DI PADOVA,1,Studies,Poland,Master,Italy,Poland
136,2018-1-DK01-KA103-046821,2018-2019,129,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,22,Odense,SYDDANSK UNIVERSITET,LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN,1,Studies,Denmark,Bachelor,Belgium,Denmark
137,2015-1-TR01-KA105-014721,2016-2017,5,Mobility of youth workers - Programme Countries,Other,Female,Staff,No,Yes,No,26,Ancona,Iniziativa Democratica,Antakya,Girisimci Kadinlar Kulubu,1,Workers,Italy,Unknown,Turkey,Italy
138,2018-1-IT01-KA116-006329,2019-2020,18,Mobility of VET learners (2 weeks up to 3 months),"Hotel, restaurants and catering",Male,Learner,No,No,No,18,Rome,Ce.S.F.Or. Centro Studi Formazione Orientamento,Leipzig,wisamar Bildungsgesellschaft gemeinnuetzige GmbH,1,Learner,Italy,Upper Secondary Education,Germany,Italy
139,2018-1-DE02-KA116-004651,2019-2020,19,Mobility of VET learners (2 weeks up to 3 months),Education science,Female,Learner,No,No,No,19,Osnabrück,Berufsbildende Schulen des Landkreises Osnabrück Brinkstrasse,Nenonpelto,Vaalijalan kuntayhtymä,1,Learner,Germany,Post-Secondary Education,Finland,Germany
140,2014-2-CZ01-KA105-001792,2015-2016,2,Youth Exchanges - Partner Countries,Other,Female,Learner,No,No,Yes,20,Tbilisi,"Public Organization ""Invalidiv ""Rodyna""",Bakuriani,International center for peace and integration (ICPI),1,Youth Exchange,Ukraine,Unknown,Georgia,Ukraine
141,2016-1-IT02-KA103-022951,2016-2017,279,Student mobility for studies between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,20,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,PARIS,UNIVERSITE PARIS DIDEROT - PARIS 7,1,Studies,Italy,Bachelor,France,Italy
142,2015-1-IT01-KA102-004416,2016-2017,20,VET traineeships in companies abroad,Services,Male,Learner,No,No,No,18,VERGATO BOLOGNA,Istituto Istruzione Superiore Luigi Fantini,Saint Paul's Bay,VisMedNet Association,2,Traineeships,Italy,Unknown,Malta,Italy
143,2014-2-HU02-KA105-000333,2016-2017,10,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,29,PALERMO,ASTERISCO - Associazione per lo sviluppo socioeconomico,Timisoara,Fundatia Archaeus,1,Youth Exchange,Italy,Unknown,Romania,Italy
144,2014-1-ES01-KA103-000256,2015-2016,90,Student mobility for traineeships between Programme Countries,Management and administration,Male,Learner,No,No,No,25,MADRID,IES  FRANCISCO TOMAS Y VALIENTE,London,Instituto espa�ol Vicente Ca�ada Blanch,1,Traineeships,Spain,Master,United Kingdom,Spain
145,2017-1-FR01-KA103-036026,2017-2018,165,Student mobility for studies between Programme Countries,Architecture and town planning,Male,Learner,No,No,No,23,Darntal Cedex,Ecole nationale supérieure d'architecture de Normandie,HANNOVER,GOTTFRIED WILHELM LEIBNIZ UNIVERSITAET HANNOVER,1,Studies,France,Master,Germany,France
146,2017-1-DE03-KA101-035253,2017-2018,5,Structured Courses/Training Events,Teacher training with subject specialization,Female,Staff,No,No,No,28,Grevenbroich,GGS Kapellen-Hemmerden,St Julians,Executive Training Institute,1,Training,Germany,Unknown,Malta,Germany
147,2019-1-TR01-KA103-062694,2019-2020,127,Student mobility for studies between Programme Countries,Language acquisition,Male,Learner,No,No,No,21,IZMIR,EGE UNIVERSITY,MAINZ,JOHANNES GUTENBERG UNIVERSITAET MAINZ,1,Studies,Turkey,Bachelor,Germany,Turkey
148,2017-1-DE02-KA102-004058,2018-2019,19,VET traineeships in companies abroad,Business and administration,Female,Learner,No,No,No,24,Kiel,KulturLife gGmbH,Torquay,The Training Partnership Ltd,1,Traineeships,Germany,Post-Secondary Education,United Kingdom,Germany
149,2017-1-FR01-KA103-035321,2018-2019,87,Student mobility for traineeships between Programme Countries,"Engineering and engineering trades, not further defined",Male,Learner,No,No,No,23,PARIS,CESI,BUCKFASTLEIGH,South Devon Railway,1,Traineeships,France,Master,United Kingdom,France
150,2018-1-NL01-KA103-038725,2018-2019,108,Student mobility for studies between Programme Countries,Law,Male,Learner,No,No,No,21,Utrecht,UNIVERSITEIT UTRECHT,IRLDUBLIN02,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",1,Studies,Netherlands,Bachelor,Ireland,Netherlands
151,2014-1-NL01-KA103-000919,2014-2015,152,Student mobility for traineeships between Programme Countries,Psychology,Female,Learner,No,No,No,22,Enschede,STICHTING SAXION,Google,Institut fur Technologietransfer (HTWS),1,Traineeships,Netherlands,Bachelor,Turkey,Netherlands
152,2015-1-DE01-KA103-001739,2015-2016,5,Staff mobility for teaching between Programme Countries,Language acquisition,Male,Staff,No,No,No,22,ERLANGEN,FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",1,Teach,Germany,Bachelor,United Kingdom,Germany
153,2019-1-FR01-KA116-061420,2019-2020,25,Mobility of VET learners (2 weeks up to 3 months),Health,Female,Learner,No,No,No,16,LAVAL,OGEC LYCEE HAUTE FOLLIS,DUBLIN,LITTLE PEOPLE ACADEMY,3,Learner,France,Upper Secondary Education,Ireland,France
154,2017-1-AT01-KA102-034896,2017-2018,66,VET learners traineeships in vocational institutes abroad,"Agriculture, forestry, fisheries and veterinary",Female,Learner,No,No,No,17,Wien,Landjugend Österreich,Portarlington,Equipeople Ltd,1,Traineeships,Austria,Upper Secondary Education,Ireland,Austria
155,2015-1-ES01-KA103-013826,2015-2016,287,Student mobility for studies between Programme Countries,Law,Female,Learner,No,No,No,20,VALENCIA,UNIVERSITAT DE VALENCIA,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,1,Studies,Spain,Bachelor,Italy,Spain
156,2014-1-PL01-KA103-000230,2014-2015,122,Student mobility for studies between Programme Countries,Fine arts,Male,Learner,No,No,No,25,Warszawa,UNIWERSYTET WARSZAWSKI,Montpellier,UNIVERSITE MONTPELLIER III PAUL VALERY,1,Studies,Poland,Master,France,Poland
157,2016-1-DE01-KA103-002327,2016-2017,142,Student mobility for studies between Programme Countries,"Social and behavioural sciences, not further defined",Male,Learner,No,No,No,22,Göttingen,GEORG-AUGUST-UNIVERSITAT GOTTINGENSTIFTUNG OFFENTLICHEN RECHTS,Praha,UNIVERZITA KARLOVA,1,Studies,Germany,Bachelor,Czechia,Germany
158,2014-1-CZ01-KA103-000201,2014-2015,281,Student mobility for studies between Programme Countries,Teacher training with subject specialization,Male,Learner,No,No,No,24,OLOMOUC,UNIVERZITA PALACKEHO V OLOMOUCI,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,1,Studies,Czechia,Bachelor,Italy,Czechia
159,2018-1-FR01-KA103-047033,2018-2019,238,Student mobility for studies between Programme Countries,"Business and administration, not further defined",Female,Learner,No,No,No,20,Lille,INSTITUT ECONOMIE SCIENTIFIQUE GESTION,Bratislava,EKONOMICKA UNIVERZITA V BRATISLAVE,1,Studies,France,Bachelor,Slovakia,France
160,2017-1-HR01-KA103-034904,2017-2018,330,Student mobility for studies between Programme Countries,"Biological and related sciences, not elsewhere classifed",Female,Learner,No,No,No,22,RIJEKA,SVEUCILISTE U RIJECI,STRASBOURG,UNIVERSITE DE STRASBOURG,1,Studies,Croatia,Master,France,Croatia
161,2017-1-ES01-KA103-036534,2017-2018,300,Student mobility for studies between Programme Countries,Medicine,Male,Learner,No,No,No,22,SALAMANCA,UNIVERSIDAD DE SALAMANCA,Budapest,SEMMELWEIS EGYETEM,1,Studies,Spain,Bachelor,Hungary,Spain
162,2014-1-FR01-KA103-001514,2014-2015,138,Student mobility for studies between Programme Countries,Economics,Female,Learner,No,No,No,19,MONT SAINT AIGNAN CEDEX,UNIVERSITE DE ROUEN NORMANDIE,?d?,UNIWERSYTET LODZKI,1,Studies,France,Bachelor,Poland,France
163,2017-1-DE01-KA103-003001,2017-2018,127,Student mobility for studies between Programme Countries,Fine arts,Female,Learner,No,No,No,22,BERLIN,HUMBOLDT-UNIVERSITAET ZU BERLIN,Rom,UNIVERSITA DEGLI STUDI ROMA TRE,1,Studies,Germany,Bachelor,Italy,Germany
164,2015-1-IT02-KA103-013324,2015-2016,131,Student mobility for studies between Programme Countries,"Journalism and information, not further defined",Female,Learner,No,No,No,22,Milano,UNIVERSITA CATTOLICA DEL SACRO CUORE,Murcia,UNIVERSIDAD DE MURCIA,1,Studies,Italy,Bachelor,Spain,Italy
